europages_prod,ecoinvent_prod,finetune_validation,prompt_validation
boring machines,paper machine,no,no
boring machines,building machine,no,no
boring machines,"machine operation, diesel, >= 74.57, underground mining",no,no
boring machines,plastic tunnel,no,no
boring machines,"metal working machine, unspecified",no,no
motor vehicle cluches,decommissioned road,no,no
motor vehicle cluches,"transport, passenger car, EURO 4",no,no
motor vehicle cluches,"transport, passenger car, EURO 5",no,no
motor vehicle cluches,"road wear emissions, passenger car",no,no
motor vehicle cluches,"road wear emissions, lorry",no,no
multimedia intranet services,"internet access, videoconference, 0.7 Mbit/s",no,no
multimedia intranet services,"internet access, work, 0.2 Mbit/s",no,medium
multimedia intranet services,internet access equipment,no,high
multimedia intranet services,"cable, data cable in infrastructure",no,high
multimedia intranet services,medium density fibreboard,no,no
product for animal beauty,silicone product,no,no
product for animal beauty,almond,no,high
product for animal beauty,dairy,no,no
product for animal beauty,"cattle for slaughtering, live weight",no,no
product for animal beauty,nylon 6,no,no
staff,"operation, computer, laptop, videoconference",no,no
staff,"operation, computer, desktop, office use",no,no
staff,"building operation, hostel",no,no
staff,"operation, computer, desktop, with cathode ray tube display, standby mode",no,no match
staff,"operation, computer, desktop, with cathode ray tube display, off mode",no,no match
pedicure items,"textile, nonwoven polyester",no,no
pedicure items,"textile, nonwoven polypropylene",no,no
pedicure items,"textile, silk",no,no
pedicure items,"fibre, silk, short",no,no
pedicure items,"textile, kenaf",no,medium
bijouterie,aubergine,no,no
bijouterie,lignite briquettes,no,no
bijouterie,bauxite,no,no
bijouterie,"road wear emissions, passenger car",no,no
bijouterie,"road wear emissions, lorry",no,no
"foundries, brass","casting, brass",medium,high match
"foundries, brass",brass,medium,high match
"foundries, brass","brass removed by drilling, computer numerical controlled",no,no
"foundries, brass","brass removed by turning, primarily roughing, computer numerical controlled",no,no
"foundries, brass","brass removed by turning, average, computer numerical controlled",no,no
new truck parts,"maintenance, motor scooter",no,no
new truck parts,"maintenance, goods wagon",no,no
new truck parts,"maintenance, bus",no,no
new truck parts,"electronic component machinery, unspecified",no,no
new truck parts,"chassis, internet access equipment",no,no
powder disposal,waste preparation facility,no,no
powder disposal,municipal waste incineration facility,no,no
powder disposal,fraction 7 from naphtha separation,no,no
powder disposal,"sorting facility, for construction waste",no,no
powder disposal,hazardous waste incineration facility,no,no
waste recycling machines,"waste paperboard, sorted",no,medium
waste recycling machines,waste paper sorting facility,no,no
waste recycling machines,"waste paper, sorted",no,high
waste recycling machines,waste fibreboard,no,no
waste recycling machines,waste paperboard,no,no
gastronomic specialties,dairy,no,no
gastronomic specialties,celery,no,no
gastronomic specialties,glucose,no,medium
gastronomic specialties,mustard,no,high
gastronomic specialties,"ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts",no,no
concrete constructions,concrete slab,no,high
concrete constructions,"concrete, medium strength",no,high
concrete constructions,"concrete, 37MPa",no,high
concrete constructions,"waste concrete, not reinforced",no,no
concrete constructions,concrete block,no,high
business consultancy,"operation, computer, laptop, videoconference",no,no
business consultancy,"building operation, upmarket hotel",no,no
business consultancy,"operation, computer, desktop, office use",no,no
business consultancy,"operation, computer, laptop, videoconference, electricity from renewable energy products",no,medium
business consultancy,"operation, computer, desktop, home use",no,no
goods procurement,"transport, freight, aircraft, unspecified",no,no
goods procurement,"maintenance, goods wagon",no,no
goods procurement,goods wagon,no,no
goods procurement,"transport, passenger aircraft, unspecified",no,no
goods procurement,folding boxboard carton,no,no
waste transportation,municipal waste collection service by 21 metric ton lorry,no,high
waste transportation,waste paper sorting facility,no,no
waste transportation,"waste collection lorry, 21 metric ton",medium,medium
waste transportation,"sorting facility, for construction waste",no,no
waste transportation,municipal waste incineration facility,no,no
treatment of industrial waste water,"manual treatment facility, waste electric and electronic equipment",no,no match
treatment of industrial waste water,ion-exchanger for water treatment,no,no
treatment of industrial waste water,"wastewater treatment facility, capacity 1.6E8l/year",no,no match
treatment of industrial waste water,"wastewater treatment facility, capacity 1.1E10l/year",no,no
treatment of industrial waste water,wastewater from potato starch production,no,no
deep-drawn aluminium parts,"deep drawing, steel, 10000 kN press, automode",no,no
deep-drawn aluminium parts,"deep drawing, steel, 3500 kN press, automode",no,no
deep-drawn aluminium parts,"deep drawing, steel, 38000 kN press, automode",no,no
deep-drawn aluminium parts,"deep drawing, steel, 650 kN press, automode",no,no
deep-drawn aluminium parts,"aluminium removed by milling, large parts",no,no
crockery,"printed wiring board, mounted mainboard, desktop computer, Pb containing",no,no
crockery,"printed wiring board, mounted mainboard, laptop computer, Pb containing",no,no
crockery,"printed wiring board, for through-hole mounting, Pb free surface",no,no
crockery,"printed wiring board, for through-hole mounting, Pb containing surface",no,no
crockery,"computer, desktop, without screen",no,no
automobile - assistance,"maintenance, passenger car, electric, without battery",no,no
automobile - assistance,"maintenance, electric scooter, without battery",no,medium
automobile - assistance,passenger car maintenance,medium,medium
automobile - assistance,ferry,no,no
automobile - assistance,"maintenance, motor scooter",no,no
repair garage services,"maintenance, light commercial vehicle",no,high
repair garage services,"maintenance, bus",no,no
repair garage services,"maintenance, motor scooter",no,no
repair garage services,"maintenance, passenger car, electric, without battery",no,no
repair garage services,passenger car maintenance,no,high
"casting, steel","steel removed by drilling, computer numerical controlled",no,no
"casting, steel","casting, brass",no,no
"casting, steel","steel, chromium steel 18/8, hot rolled",medium,medium
"casting, steel","steel removed by turning, primarily dressing, computer numerical controlled",no,no
"casting, steel","steel removed by turning, average, computer numerical controlled",no,no
food safety,protein pea,no,no
food safety,"protein pea, Swiss integrated production",no,medium
food safety,"protein pea, feed, Swiss integrated production",no,medium
food safety,"protein feed, 100% crude",no,no
food safety,dairy,no,no
personal coach,propanal,no,no
personal coach,lead,no,no
personal coach,folpet,no,no
personal coach,"operation, computer, laptop, videoconference",no,no
personal coach,captan,no,no
zinc electroplating,"zinc coat, pieces",no,medium
zinc electroplating,"zinc coat, coils",no,medium
zinc electroplating,"zinc coat, pieces, adjustment per micro-m",no,no
zinc electroplating,zinc,no,medium
zinc electroplating,"titanium zinc plate, without pre-weathering",no,no
sheet metal handling,"section bar rolling, steel",no,no
sheet metal handling,"sheet rolling, steel",no,no
sheet metal handling,"steel removed by turning, average, computer numerical controlled",no,no
sheet metal handling,"steel removed by turning, primarily roughing, computer numerical controlled",no,no
sheet metal handling,"steel removed by turning, primarily dressing, computer numerical controlled",no,no
automobile dealer,road vehicle factory,no,no
automobile dealer,"maintenance, motor scooter",no,no
automobile dealer,"maintenance, passenger car, electric, without battery",no,medium
automobile dealer,"maintenance, light commercial vehicle",no,no
automobile dealer,"road, company, internal",no,no
refrigeration plant maintenance,"maintenance, refrigeration machine",no,medium
refrigeration plant maintenance,"refrigeration machine, R134a as refrigerant",no,medium
refrigeration plant maintenance,"maintenance, train, passenger, high-speed",no,no match
refrigeration plant maintenance,"maintenance, transmission network, electricity, high voltage direct current aerial line",no,no
refrigeration plant maintenance,"maintenance, mini CHP plant",no,no
blasting media recovery machines,blasting,no,no
blasting media recovery machines,rock crushing,no,no
blasting media recovery machines,de-icer,no,no
blasting media recovery machines,terrain chipper on forwarder,no,no
blasting media recovery machines,"blast furnace dust, for recovery",no,medium
sieving machines,internet access equipment,no,no
sieving machines,"operation, internet access equipment",no,no
sieving machines,"machine operation, diesel, < 18.64 kW, steady-state",no,no
sieving machines,"delimbing/sorting, excavator-based processor",no,no
sieving machines,"machine, for treatment of waste electric and electronic equipment",no,no
stainless steel boilerwork for decoration,"spiral-seam duct, steel, DN 125",no,no
stainless steel boilerwork for decoration,"spiral-seam duct, steel, DN 400",no,no
stainless steel boilerwork for decoration,"contouring, brass",no,no match
stainless steel boilerwork for decoration,"steel removed by turning, primarily dressing, computer numerical controlled",no,no match
stainless steel boilerwork for decoration,"cladding, crossbar-pole, aluminium",no,no
chip chandler,"inductor, miniature radio frequency chip",no,medium
chip chandler,"inductor, low value multilayer chip",no,medium
chip chandler,"wood chipping, forwarder with terrain chipper, in forest",no,no
chip chandler,"wood chips, dry, measured as dry mass",no,medium
chip chandler,castor bean,no,no
automotive,"internal combustion engine, passenger car",no,medium
automotive,road vehicle factory,no,high
automotive,"used internal combustion engine, passenger car",no,no
automotive,"road wear emissions, passenger car",no,no
automotive,passenger car maintenance,no,high
"substations, high-voltage","electricity, low voltage",no,no
"substations, high-voltage","electricity, medium voltage",no,no
"substations, high-voltage","electricity, high voltage",no,high
"substations, high-voltage","transformer, high voltage use",no,high
"substations, high-voltage","transformer, low voltage use",no,no
street furniture,"furniture, wooden",medium,medium
street furniture,"wood cladding, softwood",no,no
street furniture,plywood,no,no
street furniture,"wooden board factory, organic bonded boards",no,no
street furniture,"sawnwood, softwood, raw",no,no
special events communication,intral,no,no
special events communication,"operation, computer, laptop, videoconference",no,high
special events communication,television,no,no
special events communication,captan,no,no
special events communication,internet access equipment,no,high
emergency pollution clearance service,"air filter, decentralized unit, 250 m3/h",no,no
emergency pollution clearance service,"air filter, decentralized unit, 180-250 m3/h",no,medium
emergency pollution clearance service,sanitary landfill facility,no,no
emergency pollution clearance service,air separation facility,no,no
emergency pollution clearance service,"used air filter decentralized unit, 250 m3/h",no,medium
multiple plants,planting tree,no,no
multiple plants,bamboo culm,no,no
multiple plants,cauliflower,no,no
multiple plants,"willow stem cutting, for planting",no,no
multiple plants,"grass, organic",no,medium
mechanically welded constructions,"welding, arc, steel",no,high
mechanically welded constructions,"steel removed by turning, primarily dressing, computer numerical controlled",no,no
mechanically welded constructions,"steel removed by turning, primarily roughing, computer numerical controlled",no,no
mechanically welded constructions,"steel removed by drilling, computer numerical controlled",no,no
mechanically welded constructions,"steel removed by turning, primarily roughing, conventional",no,no
customised laser working,"laser machining, metal, with YAG-laser, 60W power",medium,medium
customised laser working,"laser machining, metal, with YAG-laser, 30W power",medium,medium
customised laser working,"laser machining, metal, with YAG-laser, 50W power",medium,high
customised laser working,"laser machining, metal, with YAG-laser, 120W power",medium,high
customised laser working,"laser machining, metal, with YAG-laser, 40W power",medium,medium
biscuit consultant,breadcrumbs,no,no
biscuit consultant,milking parlour,no,no
biscuit consultant,"chipper, stationary, electric",no,no
biscuit consultant,paraffin,no,no
biscuit consultant,almond,no,no
"foods, macrobiotic","protein feed, 100% crude",no,no
"foods, macrobiotic","protein pea, organic",no,medium
"foods, macrobiotic",meat and bone meal,no,no
"foods, macrobiotic","fishmeal, 63-65% protein",no,no
"foods, macrobiotic","fishmeal, 65-67% protein",no,no
colour free preservative free drink,green liquor dregs,no,no match
colour free preservative free drink,"soda ash, light",no,no match
colour free preservative free drink,"fluorescent whitening agent, distyrylbiphenyl type",no,no match
colour free preservative free drink,"alkyd paint, white, without water, in 60% solution state",no,no
colour free preservative free drink,"ethylvinylacetate, foil",no,no match
plastic filter nozzles,"air filter, in exhaust air valve",no,no
plastic filter nozzles,"air filter, decentralized unit, 180-250 m3/h",no,medium
plastic filter nozzles,"air filter, decentralized unit, 250 m3/h",no,medium
plastic filter nozzles,used air filter in exhaust air valve,no,no
plastic filter nozzles,"used air filter decentralized unit, 180-250 m3/h",no,no
tar construction materials,coal tar,no,high
tar construction materials,"steel removed by drilling, computer numerical controlled",no,no
tar construction materials,"steel removed by drilling, conventional",no,no
tar construction materials,"sawnwood, softwood, raw",no,no
tar construction materials,scrap steel,no,no
gold tokens,"gold, unrefined",no,medium
gold tokens,"gold-silver, ingot",no,no
gold tokens,gold,no,high
gold tokens,bronze,no,no
gold tokens,"silver, unrefined",no,no
paper - art,"graphic paper, 100% recycled",no,no
paper - art,kraft paper,no,no
paper - art,paper machine,no,no
paper - art,waste graphical paper,no,high
paper - art,tissue paper,no,no
fuel oils,light fuel oil,medium,medium
fuel oils,heavy fuel oil,medium,high
fuel oils,petroleum,no,no
fuel oils,base oil,medium,medium
fuel oils,"vegetable oil, refined",no,no
metal shed,metal working factory,no,no
metal shed,"metal working machine, unspecified",no,no
metal shed,"metal working, average for copper product manufacturing",no,medium
metal shed,"metal working, average for steel product manufacturing",no,high
metal shed,scrap copper,no,no
aromatic plants,"eucalyptus seedling, for planting",no,no
aromatic plants,phenolic resin,no,no
aromatic plants,"miscanthus rhizome, for planting",no,no
aromatic plants,planting tree,no,no
aromatic plants,green asparagus,no,no
stainless steel pipe,chromium steel pipe,no,high
stainless steel pipe,"drawing of pipe, steel",no,no
stainless steel pipe,"spiral-seam duct, steel, DN 125",no,no match
stainless steel pipe,"spiral-seam duct, steel, DN 400",no,medium
stainless steel pipe,"welding, arc, steel",no,no
"tile, porcelain",ceramic tile,medium,high
"tile, porcelain",roof tile,no,no
"tile, porcelain",cement tile,no,no
"tile, porcelain",concrete roof tile,no,no
"tile, porcelain","frit, for ceramic tile",no,medium
"fish, frozen","fish freezing, small fish",medium,high match
"fish, frozen","frozen fish sticks, hake",no,no match
"fish, frozen","landed tuna, frozen, EPO",no,no match
"fish, frozen","small pelagic fish, fresh",no,medium match
"fish, frozen","trout feed, 42% protein",no,no
photovoltaic module for boats,"photovoltaic module, building-integrated, for slanted-roof installation",medium,no
photovoltaic module for boats,"photovoltaic mounting system, for 570kWp open ground module",no,no
photovoltaic module for boats,"photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof",no,no
photovoltaic module for boats,"photovoltaic slanted-roof installation, 3kWp, a-Si, panel, mounted, on roof",no,no
photovoltaic module for boats,"photovoltaics, electric installation for 3kWp module, at building",no,medium
nuts,"wood chips and particles, willow",no,no
nuts,"peanut seed, for sowing",no,no
nuts,millet,no,no
nuts,chickpea,no,no
nuts,cashew,no,high
writing envelopes,paper sack,no,no
writing envelopes,printed paper,no,no
writing envelopes,tissue paper,no,no
writing envelopes,"paper, woodfree, uncoated",no,no
writing envelopes,"paper, newsprint",no,high
natural gas,coal gas,no,no
natural gas,liquefied petroleum gas,no,no
natural gas,"natural gas, liquefied",no,high
natural gas,"natural gas, unprocessed, at extraction",no,high
natural gas,"natural gas, vented",no,high
"packaging materials, cardboard",waste packaging paper,no,medium
"packaging materials, cardboard","packaging film, low density polyethylene",no,no
"packaging materials, cardboard",packaging box factory,no,no
"packaging materials, cardboard",folding boxboard carton,medium,medium
"packaging materials, cardboard",kraft paper,no,medium
stationary consumables,"straw, stand-alone production",no,medium
stationary consumables,"straw, organic",no,no
stationary consumables,"consumer electronics, mobile device, smartphone",no,high
stationary consumables,"containerboard, fluting medium",no,no
stationary consumables,"maintenance, intermodal shipping container, 40-foot, high-cube",no,no
"cars, electrical parts","electric parts, heat and power co-generation unit, 160kW electrical",no,no
"cars, electrical parts","electronic component machinery, unspecified",no,no
"cars, electrical parts","electric parts, mini CHP plant",no,no
"cars, electrical parts",electronics scrap from control units,no,no
"cars, electrical parts","powertrain, for electric passenger car",no,medium
seafood mix,"fish canning, large fish",no,no
seafood mix,"fish canning, small fish",no,medium
seafood mix,"trout feed, 42% protein",no,no
seafood mix,"fishmeal, 63-65% protein",no,medium
seafood mix,"fishmeal, 65-67% protein",no,medium
lamps,ultraviolet lamp,no,high
lamps,used fluorescent lamp,no,medium
lamps,compact fluorescent lamp,medium,high
lamps,inert gas for discharge lamps,no,high
lamps,light emitting diode,no,high
detergents,mustard,no,no
detergents,mancozeb,no,no
detergents,sodium,no,no
detergents,refrigerant R134a,no,no
detergents,"refrigeration machine, R134a as refrigerant",no,no
trailers for industrial vehicles,agricultural trailer,no,no
trailers for industrial vehicles,"fodder loading, by self-loading trailer",no,no
trailers for industrial vehicles,liquid manure tank trailer,no,no
trailers for industrial vehicles,"transport, tractor and trailer, agricultural",no,medium
trailers for industrial vehicles,"maintenance, goods wagon",no,no
titanium,"titanium, triple-melt",medium,medium
titanium,titanium,high,high
titanium,"titanium zinc plate, without pre-weathering",no,medium
titanium,titanium tetrachloride,no,no
titanium,titanium dioxide,no,high
"coaches, building","building operation, hostel",no,no
"coaches, building","maintenance, bus",no,no
"coaches, building","maintenance, train, passenger, high-speed",no,no
"coaches, building",building machine,no,no
"coaches, building",bus,no,high
"lorries, building","building operation, hostel",no,no
"lorries, building","maintenance, goods wagon",no,no
"lorries, building","maintenance, lorry 40 metric ton",no,medium
"lorries, building","lorry, 40 metric ton",medium,medium
"lorries, building","maintenance, lorry 16 metric ton",no,no
wafers,"wafer, fabricated, for integrated circuit",medium,high
wafers,multi-Si wafer,no,high
wafers,wafer factory,no,high match
wafers,"single-Si wafer, for electronics",medium,high
wafers,"single-Si wafer, photovoltaic",medium,high
horns,horn meal,no,high
horns,brass,no,no
horns,"electronic component, passive, mobile, earpiece and speaker",no,no
horns,"contouring, brass",no,no
horns,"solder, bar, Sn95.5Ag3.9Cu0.6, for electronics industry",no,no
briquettes,lignite briquettes,no,high
briquettes,lignite briquettes factory,no,no
briquettes,aubergine,no,no
briquettes,refrigerant R134a,no,no
briquettes,polybutadiene,no,no
provitamins,prosulfocarb,no,no
provitamins,"power saw, without catalytic converter",no,no
provitamins,"power saw, with catalytic converter",no,no
provitamins,"silicon, solar grade",no,no
provitamins,refrigerant R134a,no,no
sharpening metals,"steel removed by turning, average, computer numerical controlled",no,no
sharpening metals,"steel removed by turning, primarily roughing, computer numerical controlled",no,no
sharpening metals,"steel removed by drilling, computer numerical controlled",no,no
sharpening metals,"chromium steel removed by turning, primarily roughing, computer numerical controlled",no,no
sharpening metals,"steel removed by turning, primarily dressing, computer numerical controlled",no,no
platinum,platinum,high,high
platinum,gold,no,no
platinum,"gold-silver, ingot",no,no
platinum,bronze,no,no
platinum,silver,no,no
hats,"yarn, kenaf",no,medium
hats,"yarn, silk",no,medium
hats,glass wool mat,no,no
hats,"selective coat, copper sheet, black majic",no,no
hats,"bleaching and dyeing, yarn",no,no
anhydric acids,ascorbic acid,no,no match
anhydric acids,anhydrite,no,high
anhydric acids,adipic acid,medium,medium
anhydric acids,acetic anhydride,no,high
anhydric acids,phthalic anhydride,no,medium
office furnishings,"furniture, wooden",medium,medium
office furnishings,"wood cladding, softwood",no,no
office furnishings,"shavings, hardwood, loose, measured as dry mass",no,no
office furnishings,"joist, engineered wood",no,no
office furnishings,"used door, inner, wood",no,no
biogas,biogas,high,high
biogas,"biogas, from grass",medium,high
biogas,"biowaste, garden waste",no,medium
biogas,"biowaste, kitchen and garden waste",no,medium
biogas,"heat, central or small-scale, biomethane",no,medium
pre-recorded audio,"electronic component, passive, mobile, earpiece and speaker",no,no
pre-recorded audio,"printed wiring board, through-hole mounted, unspecified, Pb free",no,medium
pre-recorded audio,"printed wiring board, through-hole mounted, unspecified, Pb containing",no,medium
pre-recorded audio,"sound insulation, heat and power co-generation unit, 160kW electrical",no,no
pre-recorded audio,"printed wiring board, surface mounted, unspecified, Pb free",no,medium
storage tents,"shed, large, wood, non-insulated, fire-unprotected",no,medium
storage tents,agricultural trailer,no,no
storage tents,cocoons,no,no
storage tents,"operation, dried roughage store, non ventilated",no,no match
storage tents,air separation facility,no,no
crushed ice,de-icer,no,no
crushed ice,"gravel, crushed",no,no
crushed ice,"impact extrusion of steel, warm, initial warming",no,no
crushed ice,rock crushing,no,no
crushed ice,"operation, reefer, freezing",no,high match
ceramics for coatings,coating powder,no,no
ceramics for coatings,sanitary ceramics,no,no
ceramics for coatings,ceramic tile,no,medium
ceramics for coatings,metal coating facility,no,no
ceramics for coatings,"chromium oxide, flakes",no,no
damaged cars,manual dismantling of used passenger car with internal combustion engine,no,no
damaged cars,manual dismantling of used electric passenger car,no,no
damaged cars,passenger car maintenance,no,no
damaged cars,"maintenance, passenger car, electric, without battery",no,no
damaged cars,"internal combustion engine, passenger car",no,high
"meats, cured","red meat, live weight",medium,medium
"meats, cured",meat and bone meal,no,no
"meats, cured","chicken for slaughtering, live weight",no,medium
"meats, cured","cattle for slaughtering, live weight",no,no
"meats, cured","cheese, from cow milk, fresh, unripened",no,no
"chocolates, filled",green liquor dregs,no,no
"chocolates, filled","lime, hydrated, packed",no,no
"chocolates, filled",white lined chipboard carton,no,medium
"chocolates, filled",beverage carton converting,no,no
"chocolates, filled",breadcrumbs,no,no
gold ingots,"gold-silver, ingot",no,high
gold ingots,"gold, unrefined",medium,high
gold ingots,"mine infrastructure, gold-silver-zinc-lead-copper",no,no
gold ingots,gold,no,high
gold ingots,"mine infrastructure, gold and silver",no,no
mushrooms,white asparagus,no,no
mushrooms,iceberg lettuce,no,no
mushrooms,flax husks,no,no
mushrooms,green asparagus,no,no
mushrooms,"zirconium sponge, nuclear-grade",no,no
acacia honey,mango,no,medium
acacia honey,"eucalyptus seedling, for planting",no,no
acacia honey,jatropha seed,no,no
acacia honey,"sawnwood, softwood, raw",no,no
acacia honey,kiwi,no,no
car cleaning product,manual dismantling of used passenger car with internal combustion engine,no,no
car cleaning product,"maintenance, refrigeration machine",no,no
car cleaning product,"brake wear emissions, passenger car",no,no
car cleaning product,"road wear emissions, passenger car",no,no
car cleaning product,"brake wear emissions, lorry",no,no
"rods, threaded","cable, ribbon cable, 20-pin, with plugs",no,no
"rods, threaded","aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire",no,no
"rods, threaded","aluminium around steel bi-metal wire, 3.67mm external diameter",no,no
"rods, threaded","wire drawing, steel",no,medium
"rods, threaded","electric connector, wire clamp",no,no
lithium carbonate,lithium carbonate,high,high
lithium carbonate,lithium sulfate,no,no
lithium carbonate,"lithium brine, 6.7 % Li",no,no
lithium carbonate,lithium manganese oxide,no,no
lithium carbonate,lithium iron phosphate,no,no
prototype textile,"textile, knit cotton",medium,medium
prototype textile,"textile, woven cotton",medium,no
prototype textile,"textile, nonwoven polyester",medium,no
prototype textile,"textile, nonwoven polypropylene",medium,medium
prototype textile,"finishing, textile, woven cotton",no,no
medical laboratories,"electrode, positive, LaNi5",no,no
medical laboratories,"electrode, negative, LiC6",no,no
medical laboratories,uranium enrichment centrifuge facility,no,no
medical laboratories,"electrode, negative, Ni",no,no
medical laboratories,"operation, computer, laptop, videoconference",no,no
salads,mustard,no,medium
salads,rape meal,no,no
salads,celery,no,medium
salads,"tilapia feed, 24-28% protein",no,no
salads,meat and bone meal,no,no
plant health treatments,"weed control, by brush cutter, pasture",no,no
plant health treatments,sunflower seed,no,no
plant health treatments,mancozeb,no,no
plant health treatments,green asparagus,no,no
plant health treatments,fish curing plant,no,no
riding clothes,"selective coat, copper sheet, black majic",no,no
riding clothes,wood wool,no,no
riding clothes,"textile, silk",no,no
riding clothes,"textile, nonwoven polyester",no,no
riding clothes,"yarn, silk",no,medium
photovoltaic panels,"photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof",no,no
photovoltaic panels,"photovoltaic slanted-roof installation, 3kWp, ribbon-Si, panel, mounted, on roof",no,no
photovoltaic panels,"photovoltaic slanted-roof installation, 3kWp, a-Si, panel, mounted, on roof",no,no
photovoltaic panels,"photovoltaic slanted-roof installation, 3kWp, CIS, panel, mounted, on roof",no,medium
photovoltaic panels,"photovoltaics, electric installation for 3kWp module, at building",medium,medium
goats' cheeses,"cheese, from cow milk, fresh, unripened",medium,no
goats' cheeses,"yogurt, from cow milk",no,no
goats' cheeses,"sheep for slaughtering, live weight",no,no
goats' cheeses,dairy,no,no
goats' cheeses,"butter, from cow milk",no,no
stacking frames for pallets,folding boxboard carton,no,medium
stacking frames for pallets,"containerboard, linerboard",no,no
stacking frames for pallets,three and five layered board,no,no
stacking frames for pallets,EUR-flat pallet,no,high
stacking frames for pallets,"mounting, through-hole technology, Pb-containing solder",no,medium
wood - turned products,"wood preservation, hot/cold dipping, creosote, outdoor use, ground contact",no,no
wood - turned products,"wood preservation, dipping/immersion method, water-based, indoor use, dry",no,no
wood - turned products,"wood preservation, pressure vessel, creosote, outdoor use, ground contact",no,no
wood - turned products,"wood chipping, industrial residual wood, stationary electric chipper",no,no
wood - turned products,"wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet",no,no
polyethylene,"polyethylene pipe, corrugated, DN 75",medium,high
polyethylene,"polyethylene pipe, DN 200, SDR 41",medium,high
polyethylene,"polyethylene, linear low density, granulate",medium,medium
polyethylene,"polyethylene, low density, granulate",medium,medium
polyethylene,"polyethylene, high density, granulate",medium,high
cartridges for clay pigeon shooting,"silencer, steel, DN 315, 50 mm",no,no
cartridges for clay pigeon shooting,"used silencer steel, DN 125",no,no
cartridges for clay pigeon shooting,"silencer, steel, DN 125",no,no
cartridges for clay pigeon shooting,"used silencer steel, DN 315",no,no
cartridges for clay pigeon shooting,wood pellet factory,no,no
wooden cottages,"shed, large, wood, non-insulated, fire-unprotected",no,high
wooden cottages,"sawlog and veneer log, meranti, debarked, measured as solid wood",no,no
wooden cottages,"sawnwood, board, hardwood, dried (u=20%), planed",no,no
wooden cottages,"wooden board factory, organic bonded boards",no,no
wooden cottages,"sawnwood, board, hardwood, dried (u=10%), planed",no,no
fresh parsley,"barley seed, for sowing",no,no
fresh parsley,"carrot seed, for sowing",no,no
fresh parsley,"linseed seed, for sowing",no,no
fresh parsley,"oat seed, for sowing",no,no
fresh parsley,"fava bean seed, for sowing",no,medium
loudspeakers,"electronic component, passive, mobile, earpiece and speaker",no,medium
loudspeakers,"sound insulation, heat and power co-generation unit, 160kW electrical",no,no
loudspeakers,television,no,no
loudspeakers,"silencer, steel, DN 125",no,no
loudspeakers,"electricity, high voltage",no,no
fresh fish fillets,"demersal fish, fresh",no,no match
fresh fish fillets,"trout feed, 42% protein",no,no
fresh fish fillets,"small pelagic fish, fresh",no,no match
fresh fish fillets,"fish canning, small fish",no,no
fresh fish fillets,"fish canning, large fish",no,no
"stoves, heating","coal stove, 5-15kW",medium,medium
"stoves, heating","auxiliary heating unit, electric, 5kW",medium,medium
"stoves, heating","heat pump, 30kW",no,no
"stoves, heating","heat distribution equipment, hydronic radiant floor heating, 150m2",no,medium
"stoves, heating","furnace, wood chips, hardwood storage area, 50kW",no,medium
corrugated pipes,"polyethylene pipe, corrugated, DN 75",no,high
corrugated pipes,corrugated board box,no,no
corrugated pipes,"polyethylene pipe, DN 200, SDR 41",no,no
corrugated pipes,"sewer grid, rural",no,no
corrugated pipes,"sewer grid, 1.6E8l/year, 6 km",no,no match
plastic beads,"polymethyl methacrylate, beads",no,medium
plastic beads,"glass fibre reinforced plastic, polyester resin, hand lay-up",no,no
plastic beads,"nylon 6-6, glass-filled",no,no
plastic beads,"glass tube, borosilicate",no,no
plastic beads,"glass wool mat, uncoated, Saint-Gobain ISOVER SA",no,no
salt substitute,salt,high,medium
salt substitute,potassium sulfate,no,no
salt substitute,sodium hydrogen sulfate,no,no
salt substitute,"sodium nitrate, unrefined",no,no
salt substitute,potash salt,no,no
fresh butchered products,"poultry manure, fresh",no,no
fresh butchered products,"protein feed, 100% crude",no,no
fresh butchered products,"chicken for slaughtering, live weight",medium,medium
fresh butchered products,meat and bone meal,no,no
fresh butchered products,"red meat, live weight",medium,medium
speed reducers for industrial conveyor belts,"transformer, low voltage use",no,no match
speed reducers for industrial conveyor belts,conveyor belt,no,medium
speed reducers for industrial conveyor belts,"steel removed by milling, average",no,no
speed reducers for industrial conveyor belts,"road wear emissions, lorry",no,no
speed reducers for industrial conveyor belts,"transformer, high voltage use",no,no
water meters,"water pump, 22kW",no,no
water meters,"water works, capacity 1.1E10l/year",no,no
water meters,"water works, capacity 6.23E10l/year",no,no
water meters,water supply network,no,high
water meters,"water pump operation, electric",no,no
insulating sleeves,"sealing tape, aluminium/PE, 50 mm wide",no,no
insulating sleeves,"insulation spiral-seam duct, rockwool, DN 400, 30 mm",no,medium
insulating sleeves,"used sealing tape aluminium/PE, 50 mm wide",no,no
insulating sleeves,polystyrene foam slab for perimeter insulation,no,no
insulating sleeves,"anodising, aluminium sheet",no,no
frames - armchair,"furniture, wooden",medium,medium
frames - armchair,"window frame, wood, U=1.5 W/m2K",no,no
frames - armchair,"door, outer, wood-aluminium",no,no
frames - armchair,"window frame, aluminium, U=1.6 W/m2K",no,no
